Month,rich_IA,rich_sim_IA,lower_IA,upper_IA
1,170,388.2328,357,422
2,217,525.4874,490,562
3,374,608.3222,572,646
4,706,641.2918,606,677
5,875,657.4436,624,691
6,945,664.4226,631.975,699
7,978,664.1768,631,698
8,890,657.7396,623,692
9,716,641.1398,605,677
10,556,607.737,572,645
11,336,524.5772,490,561
12,205,387.4292,356,420
