Month,rich_IA,rich_sim_IA,lower_IA,upper_IA
1,117,930.8068,877,983
2,133,1339.4858,1279,1398
3,329,1478.0782,1416,1541
4,846,1452.8264,1391,1513
5,1730,1427.3958,1366,1487
6,2843,1407.1706,1349,1467
7,3501,1407.49,1348,1469
8,3225,1427.5372,1368,1488
9,1945,1452.9322,1394,1514
10,867,1478.1876,1417,1539
11,362,1339.9512,1278.975,1401
12,175,931.1382,878,986
